qué	k e+
basada	b a s a D a
lvaro	l b a rf o
vuelvas	b w e l b a s
metan	m e t a ng
ascen	a s s e ng
so	s o
descenso	d e s T e n s o
rápidos	r a+ p i D o s
convertido	k o ng V e rf t i D o
burla	b u rf l a
llám	L a+ m
eme	e m e
necesite	n e s e s i t e
blado	b l a D o
descendientes	d e s s e n d j e n t e s
complementar	k o m p l e m e n t a rf
garantizará	G a rf a n t i s a rf a+
salario	s a l a rf j o
mensual	m e n s w a l
estuviera	e s t u b j e rf a
pel	p e l
compren	k o m p rf e ng
hacerme	a s e rf m e
actualidad	a k t w a l i D a
pasará	p a s a rf a+
vistazo	b i s t a s o
asom	a s o m
bra	b rf a
modales	m o D a l e s
mansión	m a ng s j o+ ng
distingui	d i s t i n g i
leer	l e e rf
abuelo	a b w e l o
pop	p o p
conseguir	k o ng s e g i rf
combate	k o m b a t e
acerca	a s e rf k a
permanecen	p e rf m a n e s e ng
escondidas	e s k o n d i D a s
alfombra	a l f o m b rf a
periódicos	p e rf j o+ D i k o s
cumbre	k u m b rf e
llegado	L e G a o
cierta	s j e rf t a
edad	e D a
diste	d i s t e
fusion	f u s j o n
adora	a D o rf a
oigan	oI G a ng
querrá	k e r a+
habrían	a b rf i+ a ng
invierno	i ng V j e rf n o
esperes	e s p e rf e s
lia	l j a
temporada	t e m p o rf a D a
muera	m w e rf a
novela	n o b e l a
negra	n e G rf a
pseudo	s eU D o
ne	n e
az	a s
teme	t e m e
pé	p e+
envíe	e ng V i+ e
lejos	l e x o s
escrito	e s k rf i t o
oblig	o b l i G
mostrarle	m o s t rf a rf l e
ció	T j o+
tontería	t o n t e rf i+ a
relación	r e l a s j o+ ng
amorosa	a m o rf o s a
significativo	s i G n i f i k a t i b o
propias	p rf o p j a s
enseñado	e n s e n~ a o
empleadas	e m p l e a D a s
hogar	o G a rf
cuyas	k u L a s
empleador	e m p l e a D o rf
empleadores	e m p l e a D o rf e s
trabajen	t rf a b a x e ng
anormal	a n o rf m a l
int	i n t
én	e+ ng
telo	t e l o
arranque	a r a ng k e
obligatoria	o b l i G a t o rf j a
ios	j o s
recuerdan	r e k w e rf D a ng
oficinas	o f i s i n a s
entreten	e n t rf e t e n
cuali	k w a l i
juvenil	x u b e n i l
opinión	o p i n j o+ ng
estrictas	e s t rf i k t a s
impuesto	i m p w e s t o
sanitario	s a n i t a rf j o
habilidades	a b i l i D a D e s
evalu	e b a l w
acreditado	a k rf e D i t a D o
mismos	m i z m o s
vis	b i s
lum	l u m
perturb	p e rf t u rf b
buscarla	b u s k a rf l a
dormido	d o rf m i D o
antigua	a n t i G w a
típica	t i+ p i k a
hindú	x aI n d u+
situadas	s i t w a D a s
reple	r e p l e
egoísta	e G o i+ s t a
mez	m e s
quina	k i n a
vegetación	b e x e t a T j o+ n
solid	s o l i
aria	a rf j a
enfo	e ng f o
menciones	m e ng s j o n e s
ordenó	o rf D e n o+
empleado	e m p l e a D o
trato	t rf a t o
cí	T i+
talo	t a l o
ganado	G a n a D o
segmento	s e G m e n t o
ahorro	a o r o
existe	e k s i s t e
remota	r e m o t a
posibilidad	p o s i b i l i D a
poemas	p o e m a s
defra	d e f rf a
gafas	G a f a s
recrea	r e k rf e a
auto	aU t o
lizar	l i s a rf
eliminar	e l i m i n a rf
imper	i m p e rf
fec	f e k
vendedores	b e n d e D o rf e s
caerá	k a e rf a+
manchas	m a ng tS a s
sucia	s u s j a
marcada	m a rf k a D a
arrancar	a r a ng k a rf
zn	s n
iniciativa	i n i T j a t i b a
dedicado	d e D i k a o
enemigos	e n e m i G o s
alemania	a l e m a n j a
apón	a p o+ ng
trabaj	t rf a b a x
entero	e n t e rf o
concentrar	k o n T e n t rf a rf
bebé	b e b e+
emocionado	e m o T j o n a o
ríe	r i+ e
gratitud	G rf a t i t u
excelencia	e s T e l e n T j a
ensayo	e ng s a L o
continuó	k o n t i n w o+
tac	t a k
irrespon	i r e s p o ng
sable	s a b l e
motivos	m o t i b o s
paciencia	p a T j e n T j a
prisa	p rf i s a
disfruta	d i s f rf u t a
habla	a b l a
viajes	b j a x e s
cristóbal	k rf i s t o+ b a l
colón	k o l o+ ng
anciana	a ng s j a n a
profe	p rf o f e
tiz	t i T
dolor	d o l o rf
ían	i+ a ng
degrad	d e G rf a D
rápidamente	r a+ p i D a m e n t e
experiencias	e k s p e rf j e ng s j a s
fiscalía	f i s k a l i+ a
amantes	a m a n t e s
plantas	p l a n t a s
encan	e ng k a ng
ubicación	u b i k a T j o+ n
tumbas	t u m b a s
conocimientos	k o n o s i m j e n t o s
existentes	e s i s t e n t e s
shang	tS a ng g
g	G
rescatar	r e s k a t a rf
extin	e k s t i ng
abras	a b rf a s
procur	p rf o k u rf
relato	r e l a t o
deprimido	d e p rf i m i D o
jóvenes	x o+ b e n e s
nad	n a
hi	i
shin	s i ng
felices	f e l i T e s
candidatura	k a n d i D a t u rf a
conjunta	k o n x u n t a
canadá	k a n a D a+
méxico	m e+ s i k o
cas	k a s
carretera	k a r e t e rf a
trabajos	t rf a b a x o s
arn	a rf n
heim	x eI m
concepción	k o ng s e p s j o+ ng
percepción	p e rf T e p T j o+ n
molino	m o l i n o
traído	t rf a i+ D o
eeuu	j u u
vigor	b i G o rf
osa	o s a
inversión	i ng V e rf s j o+ ng
produjo	p rf o D u x o
comprometió	k o m p rf o m e t j o+
acelerar	a T e l e rf a rf
infraestructura	i n f rf a e s t rf u k t u rf a
declarado	d e k l a rf a D o
acer	a T e rf
elección	e l e k s j o+ ng
materiales	m a t e rf j a l e s
abrir	a b rf i rf
maletero	m a l e t e rf o
afortunadamente	a f o rf t u n a D a m e n t e
monumentos	m o n u m e n t o s
diversión	d i b e rf s j o+ ng
supervis	s u p e rf b i s
voto	b o t o
expuls	e k s p u l s
sim	s i m
ult	u l t
eamente	e a m e n t e
buscar	b u s k a rf
avanzar	a b a n s a rf
propiedad	p rf o p j e D a
pronta	p rf o n t a
profesional	p rf o f e s j o n a l
atrapar	a t rf a p a rf
entregar	e n t rf e G a rf
core	k o rf e
preocuparte	p rf e o k u p a rf t e
conceder	k o ng s e D e rf
pros	p rf o s
crito	k rf i t o
recordó	r e k o rf D o+
deber	d e b e rf
sábado	s a+ b a o
mataría	m a t a rf i+ a
volvía	b o l b i+ a
aparecer	a p a rf e s e rf
mío	m i+ o
proporciona	p rf o p o rf T j o n a
libertad	l i b e rf t a
narrativa	n a r a t i b a
posee	p o s e e
material	m a t e rf j a l
izar	i s a rf
xi	s i
aguas	a G w a s
id	i
íl	i+ l
ico	i k o
recibir	r e s i b i rf
invitados	i ng V i t a D o s
digno	d i G n o
inmortal	i ng m o rf t a l
vér	b e+ rf
tigo	t i G o
humanidad	u m a n i D a
encantadora	e ng k a n t a D o rf a
conci	k o n T i
amena	a m e n a
actriz	a k t rf i s
embarazo	e m b a rf a s o
haría	a rf i+ a
claridad	k l a rf i D a
opiniones	o p i n j o n e s
creemos	k rf e e m o s
importar	i m p o rf t a rf
debajo	d e b a x o
árbol	a+ rf b o l
oyó	o L o+
ordenar	o rf D e n a rf
elementos	e l e m e n t o s
piezas	p j e s a s
únicas	u+ n i k a s
didas	d i D a s
enten	e n t e ng
dieran	d j e rf a ng
noción	n o s j o+ ng
ms	e m e e s e
estructuras	e s t rf u k t u rf a s
inn	i n ng
cubierta	k u b j e rf t a
gamos	G a m o s
colum	k o l u m
preocupe	p rf e o k u p e
estómago	e s t o+ m a G o
clima	k l i m a
resultados	r e s u l t a D o s
enes	e n e s
ts	t s
dur	d u rf
impac	i m p a k
tante	t a n t e
rí	r i+
descubri	d e s k u b rf i
endo	e n d o
mediterráneo	m e D i t e r a+ n e o
trate	t rf a t e
héroe	e+ rf o e
sig	s i G
ética	e+ t i k a
sería	s e rf i+ a
ori	o rf i
smo	z m o
instante	i n s t a n t e
necesarios	n e s e s a rf j o s
terapéu	t e rf a p e+ u
fijo	f i x o
suba	s u b a
exce	e s T e
letras	l e t rf a s
alfab	a l f a b
éticas	e+ t i k a s
permiti	p e rf m i t i
amable	a m a b l e
proyectos	p rf oI e k t o s
combinar	k o m b i n a rf
escoger	e s k o x e rf
geme	x e m e
contraria	k o n t rf a rf j a
votos	b o t o s
anul	a n u l
papeles	p a p e l e s
escuad	e s k w a
rilla	r i L a
misión	m i s j o+ ng
profesionales	p rf o f e s j o n a l e s
mantienen	m a n t j e n e ng
preocupado	p rf e o k u p a D o
custodia	k u s t o D j a
comercio	k o m e rf T j o
polígono	p o l i+ G o n o
industriales	i n d u s t rf j a l e s
obligados	o b l i G a D o s
cerrar	s e r a rf
rec	r e k
tifica	t i f i k a
amplía	a m p l i+ a
cobertura	k o b e rf t u rf a
encargará	e ng k a rf G a rf a+
pidió	p i D j o+
vin	b i ng
pone	p o n e
humilde	u m i l d e
oci	o T i
vimos	b i m o s
peces	p e T e s
vola	b o l a
dores	d o rf e s
representan	r e p rf e s e n t a ng
atacado	a t a k a D o
conte	k o n t e
mpla	m p l a
desen	d e s e ng
fun	f u ng
arma	a rf m a
primeros	p rf i m e rf o s
zapatos	s a p a t o s
sofá	s o f a+
vidas	b i D a s
pasaron	p a s a rf o ng
aprendido	a p rf e n d i D o
maestros	m a e s t rf o s
ingleses	i ng g l e s e s
americanos	a m e rf i k a n o s
franceses	f rf a n T e s e s
escand	e s k a n D
vos	b o s
ganador	G a n a D o rf
inmunidad	i ng m u n i D a
paral	p a rf a l
ización	i s a s j o+ ng
causar	k aU s a rf
daños	d a n~ o s
irreversi	i r e b e rf s i
sinceramente	s i ng s e rf a m e n t e
labores	l a b o rf e s
complejas	k o m p l e x a s
meterte	m e t e rf t e
piedras	p j e D rf a s
pasó	p a s o+
encen	e n T e n
dedor	d e D o rf
apun	a p u n
recibirán	r e s i b i rf a+ ng
permiso	p e rf m i s o
retribu	r e t rf i b u
recupera	r e k u p e rf a
perdone	p e rf D o n e
hacemos	a s e m o s
voluntaria	b o l u n t a rf j a
peli	p e l i
parecido	p a rf e s i D o
terror	t e r o rf
fl	f l
ip	i p e
representar	r e p rf e s e n t a rf
regiones	r e x j o n e s
barato	b a rf a t o
piloto	p i l o t o
descifr	d e s T i f rf
arlo	a rf l o
pro	p rf o
bera	b e rf a
características	k a rf a k t e rf i+ s t i k a s
asesinaron	a s e s i n a rf o ng
millas	m i L a s
rutas	r u t a s
planific	p l a n i f i k
elegir	e l e x i rf
demanda	d e m a n d a
ilimi	i l i m i
top	t o p
crecido	k rf e s i D o
indicadores	i n d i k a D o rf e s
catedral	k a t e D rf a l
toque	t o k e
lex	l e s
iona	i o n a
ville	b i L e
contenta	k o n t e n t a
decidido	d e T i D i D o
inició	i n i T j o+
recon	r e k o ng
exión	e k s j o+ ng
millón	m i L o+ ng
tenían	t e n i+ a ng
cortado	k o rf t a o
tarifa	t a rf i f a
continuidad	k o n t i n w i D a
inversiones	i ng V e rf s j o n e s
asi	a s i
áticas	a+ t i k a s
impuls	i m p u l s
economías	e k o n o m i+ a s
sustituir	s u s t i t w i rf
empiezan	e m p j e s a ng
sorprende	s o rf p rf e n d e
vendría	b e n d rf i+ a
desagradable	d e s a G rf a D a b l e
oír	o i+ rf
duerme	d w e rf m e
preocupación	p rf e o k u p a s j o+ ng
perímetro	p e rf i+ m e t rf o
protegido	p rf o t e x i D o
apropiado	a p rf o p j a o
pida	p i D a
continúe	k o n t i n u+ e
mando	m a n d o
arriesgar	a r j e z G a rf
depender	d e p e n d e rf
suceda	s u s e D a
ár	a+ rf
mense	m e ng s e
monta	m o n t a
ejercicio	e x e rf T i T j o
ministerio	m i n i s t e rf j o
conseguimos	k o ng s e g i m o s
comprender	k o m p rf e n d e rf
atrac	a t rf a k
jero	x e rf o
pistola	p i s t o l a
exager	e k s a x e rf
ad	a D
ísima	i+ s i m a
futuro	f u t u rf o
jardín	x a rf D i+ ng
uci	u s e i
nan	n a ng
capilla	k a p i L a
tina	t i n a
dero	d e rf o
económico	e k o n o+ m i k o
apla	a p l a
zamiento	s a m j e n t o
democracia	d e m o k rf a T j a
movimiento	m o b i m j e n t o
londres	l o n d rf e s
amplio	a m p l j o
pedimos	p e D i m o s
valga	b a l G a
jur	x u rf
habías	a b i+ a s
ex	e k s
mouth	m o u t
abogado	a b o G a D o
acercan	a s e rf k a n
forzoso	f o rf s o s o
tendrán	t e n d rf a+ ng
finalización	f i n a l i s a s j o+ ng
podrías	p o D rf i+ a s
duplic	d u p l i k
viejas	b j e x a s
impulsar	i m p u l s a rf
animado	a n i m a D o
escuchado	e s k u tS a o
puro	p u rf o
mirar	m i rf a rf
cañón	k a n~ o+ ng
apri	a p rf i
eta	e t a
gatillo	G a t i L o
iva	i b a
hincapié	i ng k a p j e+
emitir	e m i t i rf
bon	b o n
rescate	r e s k a t e
europeo	eU rf o p e o
ters	t e rf s
hidra	i D rf a
estatuas	e s t a t w a s
logra	l o G rf a
cuchillo	k u tS i L o
evaluar	e b a l w a rf
porcentaje	p o rf s e n t a x e
haz	a s
pico	p i k o
hí	i+
mn	e m e e n e
presentes	p rf e s e n t e s
fundamental	f u n d a m e n t a l
lí	l i+
rico	r i k o
gía	x i+ a
amenaza	a m e n a s a
vens	b e n s
queros	k e rf o s
preguntando	p rf e G u n t a n d o
aceptar	a s e p t a rf
caball	k a b a L
vestidos	b e s t i D o s
ciencia	s j e ng s j a
reno	r e n o
var	b a rf
tap	t a p
asientos	a s j e n t o s
pretenden	p rf e t e n d e ng
dirigir	d i rf i x i rf
corresponde	k o r e s p o n d e
manejar	m a n e x a rf
propios	p rf o p j o s
asegurarme	a s e G u rf a rf m e
parezca	p a rf e s k a
pez	p e T
conejo	k o n e x o
ashi	a s i
dejan	d e x a ng
actuar	a k t w a rf
inglés	i ng g l e+ s
ponen	p o n e ng
gordo	G o rf D o
enveje	e ng V e x e
interés	i n t e rf e+ s
casas	k a s a s
lament	l a m e n t
asust	a s u s t
traté	t rf a t e+
encontrarlo	e ng k o n t rf a rf l o
direcciones	d i rf e k s j o n e s
sincron	s i n k rf o ng
disculpa	d i s k u l p a
inconveniente	i n k o m V e n j e n t e
causado	k aU s a D o
ministerios	m i n i s t e rf j o s
someter	s o m e t e rf
autorización	aU t o rf i s a s j o+ ng
sacado	s a k a D o
femenino	f e m e n i n o
esas	e s a s
ey	eI
investigador	i ng V e s t i G a D o rf
corriente	k o r j e n t e
ciertos	s j e rf t o s
comentar	k o m e n t a rf
ch	s e a tS e
m	e m e
propuesta	p rf o p w e s t a
incidente	i n T i D e n t e
causó	k aU s o+
salidas	s a l i D a s
aterrizaje	a t e r i s a x e
precaución	p rf e k aU s j o+ ng
leí	l e i+
hacerla	a s e rf l a
pesca	p e s k a
sobor	s o b o rf
organizar	o rf G a n i T a rf
encuentros	e ng k w e n t rf o s
escritores	e s k rf i t o rf e s
ciclos	T i k l o s
ocul	o k u l
abierta	a b j e rf t a
sentiría	s e n t i rf i+ a
tomara	t o m a rf a
temperatura	t e m p e rf a t u rf a
ole	o l e
aje	a x e
liter	l i t e rf
abajo	a b a x o
ichi	i tS i
zu	s u
trami	t rf a m i
denuncias	d e n u ng s j a s
ofertas	o f e rf t a s
gota	G o t a
mó	m o+
vaso	b a s o
niego	n j e G o
derro	d e r o
che	tS e
electricidad	e l e k t rf i s i D a
jugador	x u G a D o rf
compartió	k o m p a rf t j o+
ái	a+ i
suma	s u m a
asciende	a s T j e n d e
diciembre	d i s j e m b rf e
gí	x i+
pareja	p a rf e x a
tron	t rf o ng
ómica	o+ m i k a
sorpren	s o rf p rf e n
trans	t rf a n s
mit	m i t
comprando	k o m p rf a n d o
distinta	d i s t i n t a
formando	f o rf m a n d o
muchísimo	m u tS i+ s i m o
costó	k o s t o+
llamaste	L a m a s t e
camión	k a m j o+ ng
obliga	o b l i G a
poniendo	p o n j e n d o
nervioso	n e rf b j o s o
convencido	k o ng V e ng s i D o
lograr	l o G rf a rf
relaciona	r e l a T j o n a
rompió	r o m p j o+
ter	t e rf
metro	m e t rf o
farmacia	f a rf m a T j a
recar	r e k a rf
adonde	a D o n d e
encontraré	e ng k o n t rf a rf e+
río	r i+ o
revuel	r e b w e l
ganancia	G a n a ng s j a
primaria	p rf i m a rf j a
poblado	p o b l a D o
lao	l a o
gli	G l i
bé	b e+
independencia	i n d e p e n d e n T j a
escribo	e s k rf i b o
directamente	d i rf e k t a m e n t e
ordenador	o rf D e n a D o rf
escocés	e s k o s e+ s
procedente	p rf o T e D e n t e
triunf	t rf j u ng f
falle	f a L e
estim	e s t i m
ular	u l a rf
interna	i n t e rf n a
consumidores	k o n s u m i D o rf e s
contemplar	k o n t e m p l a rf
representativas	r e p rf e s e n t a t i b a s
pasaría	p a s a rf i+ a
alemanes	a l e m a n e s
viera	b j e rf a
capitales	k a p i t a l e s
decepcion	d e T e p T j o n
cobra	k o b rf a
parecía	p a rf e T i+ a
marca	m a rf k a
acercar	a s e rf k a rf
pasamos	p a s a m o s
estrech	e s t rf e tS
eces	e T e s
est	e s t
ira	i rf a
naranja	n a rf a ng x a
demia	d e m j a
contención	k o n t e n T j o+ n
implement	i m p l e m e n t
gobiernos	G o b j e rf n o s
carteles	k a rf t e l e s
refería	r e f e rf i+ a
buscaban	b u s k a b a ng
común	k o m u+ ng
diálogo	d j a+ l o G o
entendimiento	e n t e n d i m j e n t o
usar	u s a rf
bici	b i T i
facilidad	f a s i l i D a
prior	p rf j o rf
icen	i s e ng
liquidación	l i k i D a s j o+ ng
reclamaciones	r e k l a m a s j o n e s
pacientes	p a s j e n t e s
infectados	i ng f e k t a D o s
bur	b u rf
tribut	t rf i b u t
aumentar	aU m e n t a rf
tasa	t a s a
reembolso	r e e m b o l s o
acto	a k t o
resistencia	r e s i s t e ng s j a
celos	T e l o s
desestabili	d e s e s t a b i l i
zador	T a D o rf
sed	s e
uc	u s e
tores	t o rf e s
poses	p o s e s
ivos	i b o s
sienten	s j e n t e ng
podías	p o D i+ a s
ionada	i o n a D a
literatura	l i t e rf a t u rf a
rusa	r u s a
tuvo	t u b o
animal	a n i m a l
lugares	l u G a rf e s
espacios	e s p a T j o s
razonable	r a T o n a b l e
diera	d j e rf a
azo	a s o
vieja	b j e x a
ciudadano	T j u D a D a n o
jito	x i t o
vestir	b e s t i rf
traje	t rf a x e
menú	m e n u+
transferir	t rf a ng s f e rf i rf
cargamento	k a rf G a m e n t o
nav	n a b
íos	i+ o s
estarán	e s t a rf a+ ng
reba	r e b a
je	x e
grasa	G rf a s a
cis	s i s
terna	t e rf n a
alej	a l e x
marea	m a rf e a
encantan	e ng k a n t a ng
logrado	l o G rf a D o
liberar	l i b e rf a rf
trece	t rf e s e
presentaron	p rf e s e n t a rf o ng
irregularidades	i r e G u l a rf i D a D e s
casos	k a s o s
cuestiones	k w e s t j o n e s
transparencia	t rf a n s p a rf e n T j a
llamen	L a m e ng
celebran	s e l e b rf a ng
resolución	r e s o l u s j o+ ng
caute	k aU t e
pac	p a k
trop	t rf o p
paradas	p a rf a D a s
ecu	e k u
alizador	a l i s a D o rf
mencion	m e n T j o n
atacó	a t a k o+
nervios	n e rf b j o s
atrap	a t rf a p
dichas	d i tS a s
data	d a t a
camarero	k a m a rf e rf o
restaur	r e s t aU rf
brillante	b rf i L a n t e
consciente	k o n s T j e n t e
establecimiento	e s t a b l e s i m j e n t o
distinguido	d i s t i n g i D o
afecta	a f e k t a
ilómetro	i l o+ m e t rf o
vías	b i+ a s
prueba	p rf w e b a
insiste	i ng s i s t e
remo	r e m o
talento	t a l e n t o
supon	s u p o ng
planificación	p l a n i f i k a T j o+ n
elaboración	e l a b o rf a T j o+ n
provocar	p rf o b o k a rf
distorsion	d i s t o rf s j o n
enseña	e ng s e n~ a
estáis	e s t a+ i s
irri	i r i
io	j o
encontrarás	e ng k o n t rf a rf a+ s
costo	k o s t o
asesinada	a s e s i n a D a
trices	t rf i s e s
aguantar	a G w a n t a rf
convivencia	k o ng V i b e ng s j a
lad	l a
q	k
pti	p t i
informativo	i ng f o rf m a t i b o
seguirán	s e g i rf a+ ng
esfor	e s f o rf
zán	s a+ ng
dose	d o s e
sólidos	s o+ l i D o s
cooperación	k o p e rf a s j o+ ng
terceros	t e rf T e rf o s
mercados	m e rf k a D o s
prop	p rf o p
ensos	e n s o s
adultos	a D u l t o s
investigación	i ng V e s t i G a s j o+ ng
docencia	d o T e n T j a
ése	e+ s e
mars	m a rf s
acompañe	a k o m p a n~ e
iniciado	i n i s j a D o
maniobras	m a n j o b rf a s
rean	r e a ng
ima	i m a
cardio	k a rf D j o
motor	m o t o rf
recuperado	r e k u p e rf a D o
pulso	p u l s o
finalmente	f i n a l m e n t e
confirmado	k o ng f i rf m a D o
fallecimiento	f a L e s i m j e n t o
sucursal	s u k u rf s a l
conoce	k o n o s e
estadio	e s t a D j o
abonado	a b o n a D o
decimo	d e T i m o
art	a rf t
aquellos	a k e L o s
inmediata	i ng m e D j a t a
poseer	p o s e e rf
resi	r e s i
dir	d i rf
inmueble	i ng m w e b l e
terías	t e rf i+ a s
seguimos	s e g i m o s
pongas	p o n g a s
vestido	b e s t i D o
definición	d e f i n i s j o+ ng
deducir	d e D u T i rf
diferencias	d i f e rf e ng s j a s
artes	a rf t e s
próximas	p rf o+ s i m a s
vendido	b e n d i D o
pas	p a s
tilla	t i L a
teras	t e rf a s
tejado	t e x a o
garaje	G a rf a x e
habrán	a b rf a+ ng
desaparecido	d e s a p a rf e T i D o
centrales	s e n t rf a l e s
térmica	t e+ rf m i k a
carbón	k a rf b o+ ng
imagin	i m a x i n
teza	t e s a
firma	f i rf m a
culturales	k u l t u rf a l e s
educativos	e D u k a t i b o s
agrada	a G rf a D a
asignar	a s i G n a rf
computadoras	k o m p u t a D o rf a s
facultad	f a k u l t a
maldad	m a l d a
fruto	f rf u t o
ignorancia	i G n o rf a n T j a
tendrás	t e n d rf a+ s
complejos	k o m p l e x o s
decisiones	d e T i s j o n e s
transformación	t rf a ng s f o rf m a T j o+ n
frecuentemente	f rf e k w e n t e m e n t e
acepta	a s e p t a
medir	m e D i rf
complemento	k o m p l e m e n t o
salgas	s a l G a s
durmiendo	d u rf m j e n d o
duer	d w e rf
ídolo	i+ D o l o
ches	tS e s
documental	d o k u m e n t a l
riguros	r i G u rf o s
emocionante	e m o T j o n a n t e
filas	f i l a s
llamarla	L a m a rf l a
temía	t e m i+ a
hubieras	u b j e rf a s
escuchas	e s k u tS a s
telefónicas	t e l e f o+ n i k a s
pudi	p u D i
alguno	a l G u n o
efectos	e f e k t o s
radio	r a D j o
interrumpir	i n t e r u m p i rf
vuestro	b w e s t rf o
niña	n i n~ a
concepto	k o n T e t o
conocemos	k o n o s e m o s
escriba	e s k rf i b a
firmar	f i rf m a rf
testigos	t e s t i G o s
desembol	d e s e m b o l
sentencias	s e n t e ng s j a s
ema	e m a
enca	e n k a
jó	x o+
encontrarte	e ng k o n t rf a rf t e
querido	k e rf i D o
compre	k o m p rf e
aprecio	a p rf e T j o
agregó	a G rf e G o+
bet	b e t
coin	k oI ng
zquez	T k e T
monto	m o n t o
dillas	d i L a s
tona	t o n a
agencia	a x e n T j a
cobro	k o b rf o
invitada	i m V i t a D a
organiz	o rf G a n i s
lío	l i+ o
continente	k o n t i n e n t e
infracciones	i n f rf a s j o n e s
relacionado	r e l a T j o n a o
invi	i m V i
respetar	r e s p e t a rf
exhibición	e k s i b i s j o+ ng
febrero	f e b rf e rf o
supermercado	s u p e rf m e rf k a D o
cercanía	T e rf k a n i+ a
hogares	o G a rf e s
tipo	t i p o
logía	l o x i+ a
principales	p rf i ng s i p a l e s
beneficiado	b e n e f i s j a D o
elegante	e l e G a n t e
sientas	s j e n t a s
compasión	k o m p a s j o+ ng
cumplimiento	k u m p l i m j e n t o
obligación	o b l i G a s j o+ ng
bes	b e s
pierdes	p j e rf D e s
interacción	i n t e rf a s j o+ n
enseñando	e n s e n~ a n d o
perdemos	p e rf D e m o s
ún	u+ ng
poner	p o n e rf
emociones	e m o T j o n e s
inquietudes	i ng k j e t u D e s
acompañado	a k o m p a n~ a D o
muralla	m u rf a L a
típicos	t i+ p i k o s
udar	u D a rf
ótica	o+ t i k a
ficción	f i s j o+ n
existencia	e k s i s t e ng s j a
incluyendo	i ng k l u L e n d o
estadounidenses	e s t a D o u n i D e n s e s
respondieron	r e s p o n d j e rf o ng
estaciones	e s t a s j o n e s
calma	k a l m a
acarre	a k a r e
ham	a m
alivi	a l i b i
cala	k a l a
científicos	T j e n t i+ f i k o s
advierte	a D b j e rf t e
conclusiones	k o ng k l u s j o n e s
llorar	L o rf a rf
atender	a t e n d e rf
máquinas	m a+ k i n a s
gam	G a m
one	o n e
traspas	t rf a s p a s
magnética	m a G n e+ t i k a
objeto	o x e t o
dejará	d e x a rf a+
existir	e s i s t i rf
preparados	p rf e p a rf a D o s
actualizado	a k t w a l i T a o
conocía	k o n o s i+ a
decían	d e s i+ a ng
funciona	f u n T j o n a
círculo	s i+ rf k u l o
violencia	b j o l e ng s j a
ías	i+ a s
previamente	p rf e b j a m e n t e
números	n u+ m e rf o s
quite	k i t e
tristes	t rf i s t e s
ropas	r o p a s
masculina	m a s k u l i n a
saberlo	s a b e rf l o
ístas	i+ s t a s
capaces	k a p a T e s
oiga	oI G a
desarrolla	d e s a r o L a
resulte	r e s u l t e
romántico	r o m a+ n t i k o
opina	o p i n a
llevamos	L e b a m o s
fla	f l a
gelo	x e l o
sucede	s u s e D e
carece	k a rf e s e
oye	o L e
enamorada	e n a m o rf a D a
hablo	a b l o
permanece	p e rf m a n e s e
lada	l a D a
vemos	b e m o s
jueves	x w e b e s
mantendrá	m a n t e n d rf a+
vendrá	b e n d rf a+
descanso	d e s k a ng s o
fantasmas	f a n t a z m a s
chaqueta	tS a k e t a
inversor	i m V e rf s o rf
apertura	a p e rf t u rf a
renovación	r e n o b a s j o+ ng
repos	r e p o s
icion	i s j o ng
amiento	a m j e n t o
privados	p rf i b a D o s
mejora	m e x o rf a
urbanos	u rf b a n o s
escán	e s k a+ ng
conf	k o ng f
simplemente	s i m p l e m e n t e
agricultura	a G rf i k u l t u rf a
gada	G a D a
discutiendo	d i s k u t j e n d o
denunciar	d e n u n T j a rf
inspección	i ng s p e k s j o+ ng
generalmente	x e n e rf a l m e n t e
estima	e s t i m a
tensión	t e ng s j o+ ng
músculos	m u+ s k u l o s
retor	r e t o rf
venda	b e n d a
shir	tS i rf
ait	aI t
golpea	G o l p e a
poderosa	p o D e rf o s a
olvidarlo	o l b i D a rf l o
fácilmente	f a+ s i l m e n t e
inicio	i n i T j o
preciosas	p rf e s j o s a s
corren	k o r e ng
pele	p e l e
cans	k a n s
intra	i n t rf a
ns	n s
ige	i x e
coches	k o tS e s
maniobra	m a n j o b rf a
respecta	r e s p e k t a
descubrieron	d e s k u b rf j e rf o ng
restos	r e s t o s
arqueológicos	a rf k e o l o+ x i k o s
romanos	r o m a n o s
const	k o ng s t
edificios	e D i f i T j o s
dinosaurios	d i n o s aU rf j o s
fósiles	f o+ s i l e s
agentes	a x e n t e s
gus	G u s
tarla	t a rf l a
llevaré	L e b a rf e+
etcétera	e t s e+ t e rf a
probar	p rf o b a rf
comandos	k o m a n d o s
vene	b e n e
matrimonio	m a t rf i m o n j o
jugado	x u G a D o
sentar	s e n t a rf
hubiéramos	u b j e+ rf a m o s
evidentemente	e b i D e n t e m e n t e
borrar	b o r a rf
min	m i ng
solidaridad	s o l i D a rf i D a
mentira	m e n t i rf a
comb	k o m b
modernos	m o D e rf n o s
embajador	e m b a x a D o rf
nio	n j o
letonia	l e t o n j a
arti	a rf t i
hil	i l
pus	p u s
representó	r e p rf e s e n t o+
incorpor	i ng k o rf p o rf
revista	r e b i s t a
breves	b rf e b e s
sueco	s w e k o
cálculo	k a+ l k u l o
diferencial	d i f e rf e n T j a l
obtiene	o b t j e n e
